Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-1.1482	-2.7757	-2.4651	 0.3085	-0.3000	-0.1434	 0.8453	 0.0574	-4.0201	-0.0602	-0.0167	 0.0125	 0.1045	 0.0000	 0.1633	 0.0000	 0.0000	 0.0000	-0.6981	-0.0574	-1.9528	 0.0602	 0.0167	-0.0125
-1.3311	-4.3242	-4.6838	 0.5147	-0.2203	-0.1734	 0.8460	 0.0547	-4.0274	-0.0944	 0.0019	-0.0150	 0.1188	 0.0000	 0.1864	 0.0000	 0.0000	 0.0000	-0.4957	-0.0547	 0.3177	 0.0944	-0.0019	 0.0150
-1.3702	-3.2533	-2.4818	 0.3591	-0.2940	-0.1313	 0.8424	 0.0420	-4.0323	-0.0715	 0.0005	 0.0084	 0.1351	 0.0000	 0.2126	 0.0000	 0.0000	 0.0000	-0.4124	-0.0420	-1.7901	 0.0715	-0.0005	-0.0084
-0.8716	-3.5448	-3.6964	 0.3565	-0.1892	-0.1779	 0.8357	 0.0523	-4.0324	-0.0566	 0.0021	-0.0027	 0.1523	 0.0000	 0.2403	 0.0000	 0.0000	 0.0000	-0.8919	-0.0523	-0.5808	 0.0566	-0.0021	 0.0027
-0.8271	-3.1846	-6.8798	 0.3162	-0.1504	-0.1542	 0.8326	 0.0559	-4.0384	-0.0645	-0.0027	-0.0117	 0.1710	 0.0000	 0.2706	 0.0000	 0.0000	 0.0000	-0.9111	-0.0559	 2.6390	 0.0645	 0.0027	 0.0117
-2.3101	-3.6616	-1.7700	 0.4158	-0.4380	-0.1221	 0.8348	 0.0644	-4.0303	-0.0438	 0.0124	 0.0085	 0.1913	 0.0000	 0.3035	 0.0000	 0.0000	 0.0000	 0.5653	-0.0644	-2.4901	 0.0438	-0.0124	-0.0085
-1.2823	-3.6991	-0.6953	 0.3707	-0.2875	-0.1503	 0.8363	 0.0623	-4.0357	-0.0526	 0.0021	-0.0095	 0.2128	 0.0000	 0.3383	 0.0000	 0.0000	 0.0000	-0.4350	-0.0623	-3.5087	 0.0526	-0.0021	 0.0095
-0.7716	-3.9214	-3.6290	 0.3827	-0.2365	-0.1349	 0.8360	 0.0615	-4.0343	-0.0580	 0.0052	 0.0067	 0.2365	 0.0000	 0.3767	 0.0000	 0.0000	 0.0000	-0.9234	-0.0615	-0.5375	 0.0580	-0.0052	-0.0067
-1.0719	-4.4097	-4.6111	 0.5020	-0.2225	-0.1761	 0.8298	 0.0482	-4.0378	-0.0195	-0.0061	-0.0007	 0.2614	 0.0000	 0.4170	 0.0000	 0.0000	 0.0000	-0.5583	-0.0482	 0.5492	 0.0195	 0.0061	 0.0007
-0.7861	-4.4735	-3.5017	 0.4791	-0.1239	-0.1564	 0.8324	 0.0577	-4.0391	-0.0288	 0.0125	-0.0009	 0.2882	 0.0000	 0.4607	 0.0000	 0.0000	 0.0000	-0.8411	-0.0577	-0.5468	 0.0288	-0.0125	 0.0009
 0.6359	-4.3812	-3.5344	 0.4794	 0.0384	-0.1635	 0.8269	 0.0555	-4.0340	-0.0166	-0.0096	 0.0006	 0.3168	 0.0000	 0.5071	 0.0000	 0.0000	 0.0000	-2.2155	-0.0555	-0.4744	 0.0166	 0.0096	-0.0006
-0.7963	-3.8878	-5.5601	 0.4010	-0.1964	-0.1544	 0.8341	 0.0470	-4.0404	-0.0016	 0.0021	 0.0138	 0.3469	 0.0000	 0.5560	 0.0000	 0.0000	 0.0000	-0.7593	-0.0470	 1.6524	 0.0016	-0.0021	-0.0138
-1.4851	-3.6904	-1.4588	 0.3998	-0.2900	-0.1518	 0.8292	 0.0490	-4.0252	 0.0037	-0.0074	 0.0047	 0.3794	 0.0000	 0.6090	 0.0000	 0.0000	 0.0000	-0.0327	-0.0490	-2.4521	-0.0037	 0.0074	-0.0047
