Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 31, 2024 -- 13: 4: 51: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr	FxCs	FyCs	FzCs	MxCs	MyCs	MzCs	FxCp	FyCp	FzCp	MxCp	MyCp	MzCp	SrTp	TbTp	HPrs	CntA	CntB	FxSm	FySm	FzSm	MxSm	MySm	MzSm
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg	N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	°C	°C	KPa	NA	NA	N	N	N	N-m	N-m	N-m
-1.2624	-0.1048	-2.9523	 0.0155	-0.2597	-0.0135	-0.1405	 0.0438	-2.7187	 0.0760	-0.0957	 0.0171	 0.0143	 0.0000	 0.0196	 0.0000	 0.0000	 0.0000	 1.7223	-0.0438	-6.9279	-0.0760	 0.0957	-0.0171	-0.4456	21.2575	 9.8998	-0.0668	-0.0220	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4692	37.1366	5347.3460	 0.0040	 0.0000	-1.7080	21.1527	 6.9475	-0.0513	-0.2817	-0.0578
-2.9397	-0.3993	 1.2569	 0.0656	-0.4545	 0.0143	-0.1347	 0.0502	-2.7231	 0.0790	-0.0867	 0.0180	 0.0183	 0.0000	 0.0258	 0.0000	 0.0000	 0.0000	 3.3844	-0.0502	-11.1362	-0.0790	 0.0867	-0.0180	-0.4264	21.3201	 9.9051	-0.0671	-0.0219	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4698	37.1353	5347.2846	 0.0044	 0.0000	-3.3661	20.9208	11.1620	-0.0015	-0.4764	-0.0300
-1.6306	-0.4044	-2.8092	 0.0791	-0.1644	-0.0186	-0.1396	 0.0524	-2.7245	 0.0722	-0.0937	 0.0121	 0.0228	 0.0000	 0.0328	 0.0000	 0.0000	 0.0000	 2.0981	-0.0524	-7.0709	-0.0722	 0.0937	-0.0121	-0.4447	21.3490	 9.9129	-0.0672	-0.0220	-0.0444	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4692	37.1346	5347.1400	 0.0048	 0.0000	-2.0753	20.9446	 7.1037	 0.0120	-0.1864	-0.0630
-1.1963	-1.0963	-1.8069	 0.0881	-0.2077	-0.0132	-0.1409	 0.0535	-2.7374	 0.0681	-0.0915	 0.0071	 0.0282	 0.0000	 0.0413	 0.0000	 0.0000	 0.0000	 1.6725	-0.0535	-8.0028	-0.0681	 0.0915	-0.0071	-0.4481	21.3025	 9.8510	-0.0672	-0.0219	-0.0443	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4703	37.1344	5346.9764	 0.0052	 0.0000	-1.6444	20.2062	 8.0441	 0.0209	-0.2296	-0.0576
-1.8184	-0.6500	-1.0266	 0.0937	-0.3331	 0.0017	-0.1307	 0.0534	-2.7551	 0.0411	-0.0934	 0.0092	 0.0343	 0.0000	 0.0510	 0.0000	 0.0000	 0.0000	 2.2683	-0.0534	-8.6825	-0.0411	 0.0934	-0.0092	-0.4156	21.2093	 9.7601	-0.0671	-0.0215	-0.0440	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4705	37.1354	5347.0060	 0.0056	 0.0000	-2.2340	20.5593	 8.7335	 0.0266	-0.3546	-0.0423
-2.5763	 0.0618	-2.0596	 0.0307	-0.3733	 0.0243	-0.1386	 0.0540	-2.7611	 0.0357	-0.0987	 0.0316	 0.0412	 0.0000	 0.0619	 0.0000	 0.0000	 0.0000	 3.0529	-0.0540	-7.6084	-0.0357	 0.0987	-0.0316	-0.4354	21.1792	 9.7299	-0.0671	-0.0216	-0.0441	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4696	37.1361	5347.0397	 0.0060	 0.0000	-3.0117	21.2410	 7.6703	-0.0364	-0.3949	-0.0198
-1.8113	-0.1999	-1.0051	-0.0205	-0.2765	 0.0103	-0.1357	 0.0505	-2.7611	 0.0367	-0.0735	 0.0102	 0.0492	 0.0000	 0.0747	 0.0000	 0.0000	 0.0000	 2.2844	-0.0505	-8.6313	-0.0367	 0.0735	-0.0102	-0.4239	21.1361	 9.7112	-0.0669	-0.0215	-0.0439	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4697	37.1360	5347.1104	 0.0064	 0.0000	-2.2352	20.9362	 8.7060	-0.0874	-0.2980	-0.0336
-2.3081	 0.3910	 0.3835	 0.0373	-0.4133	 0.0037	-0.1284	 0.0529	-2.7601	 0.0143	-0.0888	 0.0056	 0.0579	 0.0000	 0.0886	 0.0000	 0.0000	 0.0000	 2.7736	-0.0529	-10.0308	-0.0143	 0.0888	-0.0056	-0.4076	21.1786	 9.7358	-0.0670	-0.0214	-0.0439	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4699	37.1348	5347.0377	 0.0068	 0.0000	-2.7157	21.5696	10.1194	-0.0298	-0.4348	-0.0403
-1.8663	-0.2039	-1.7530	 0.0257	-0.2668	-0.0144	-0.1398	 0.0438	-2.7770	 0.0048	-0.0720	-0.0101	 0.0680	 0.0000	 0.1047	 0.0000	 0.0000	 0.0000	 2.3711	-0.0438	-7.7454	-0.0048	 0.0720	 0.0101	-0.4369	20.9738	 9.6031	-0.0665	-0.0213	-0.0436	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4697	37.1343	5347.0946	 0.0072	 0.0000	-2.3032	20.7699	 7.8501	-0.0409	-0.2881	-0.0580
-2.4764	 0.4806	 0.2676	-0.0692	-0.3891	 0.0221	-0.1285	 0.0534	-2.7857	 0.0251	-0.0860	-0.0038	 0.0789	 0.0000	 0.1222	 0.0000	 0.0000	 0.0000	 2.9621	-0.0534	-9.7474	-0.0251	 0.0860	 0.0038	-0.4068	21.0612	 9.6020	-0.0670	-0.0212	-0.0437	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	 0.0000	35.4691	37.1348	5347.2678	 0.0076	 0.0000	-2.8832	21.5418	 9.8696	-0.1362	-0.4102	-0.0216
